Nom réel,CODE INSEE TXT,Surface km carré,Long,Lat,population
Nivollet-Montgriffon,01277,8.24,5.43333,45.9833,121
Izernore,01192,20.86,5.55,46.2167,2357
Saint-Nizier-le-Désert,01381,24.96,5.15,46.05,931
Guéreins,01183,4.51,4.78333,46.1,1451
Illiat,01188,20.37,4.88333,46.1833,621
La Tranclière,01425,14.75,5.26667,46.1167,298
Saint-Didier-de-Formans,01347,6.53,4.78333,45.95,1919
Mérignat,01242,3.17,5.43333,46.0667,129
Saint-Éloi,01349,14.26,5.15,45.9333,456
La Chapelle-du-Châtelard,01085,13.37,5.03333,46.0667,385
Saint-Jean-de-Niost,01361,14.19,5.21667,45.8333,1463
Savigneux,01398,14.75,4.85,46,1282
Nattages,01271,10.33,5.76667,45.7333,0
Saint-Benoît,01338,21.65,5.58333,45.7,1213
Douvres,01149,5.26,5.36667,45.9833,1060
Francheleins,01165,13.56,4.8,46.0667,1545
Dortan,01148,18.11,5.66667,46.3167,1902
Saint-Germain-les-Paroisses,01358,16.27,5.61667,45.7667,421
Miribel,01249,24.49,4.95306,45.8245,9536
Lancrans,01205,9.66,5.83333,46.1333,1067
Échenevex,01153,16.44,6.03333,46.3167,2252
Saint-Jean-sur-Veyle,01365,11.21,4.91667,46.25,1105
Billiat,01044,13.7,5.78333,46.0667,605
L'Abergement-de-Varey,01002,9.15,5.41667,46,241
Villeneuve,01446,26.79,4.83667,46.0212,1447
Villars-les-Dombes,01443,24.65,5.01667,46,4534
Thézillieu,01417,26.25,5.6,45.8833,309
Saint-Étienne-sur-Reyssouze,01352,13.82,5,46.4,575
Souclin,01411,13.19,5.41667,45.8667,271
Saint-Just,01369,3.38,5.28,46.1903,938
Civrieux,01105,19.76,4.88333,45.9167,1563
Argis,01017,7.84,5.48333,45.9333,439
Talissieu,01415,4.8,5.71667,45.8667,450
Birieux,01045,15.83,5.03333,45.95,295
Saint-Julien-sur-Veyle,01368,9.84,4.95,46.2,770
Thoiry,01419,28.93,5.97973,46.2364,6237
Laiz,01203,10.31,4.88333,46.25,1223
Cressin-Rochefort,01133,7.93,5.76667,45.7667,395
Saint-Champ,01341,5.14,5.73333,45.7833,161
Saint-Georges-sur-Renon,01356,5.66,5.03333,46.1,224
Lantenay,01206,6.59,5.53333,46.05,268
Vernoux,01433,10.2,5.11667,46.4833,323
Cormaranche-en-Bugey,01122,18.92,5.6,45.95,867
Sainte-Euphémie,01353,4.61,4.78333,45.9667,1667
Beaupont,01029,14.07,5.26667,46.4,683
Brens,01061,6.9,5.69473,45.7187,1214
Ramasse,01317,9.86,5.35,46.2,310
Divonne-les-Bains,01143,33.88,6.13333,46.3667,9366
Léaz,01209,11.4,5.88333,46.1,701
Villes,01448,9.21,5.78333,46.0833,370
Saint-Julien-sur-Reyssouze,01367,7.52,5.11667,46.4,736
Groslée,01182,7.27,5.56667,45.7167,0
Vandeins,01429,9.4,5.08333,46.2167,688
Verjon,01432,5.11,5.35,46.35,267
Saint-André-sur-Vieux-Jonc,01336,24.22,5.06667,46.15,1155
Saint-André-d'Huiriat,01334,9,4.91667,46.2167,568
Grilly,01180,7.5,6.11667,46.3333,805
Cessy,01071,6.39,6.06667,46.3167,4960
Ordonnaz,01280,14.88,5.53333,45.8333,159
Vescours,01437,12.48,5.03333,46.4667,249
Meillonnas,01241,17.74,5.35,46.25,1330
Géovreisset,01171,3.31,5.6,46.25,955
Ceyzérieu,01073,19.72,5.73333,45.8333,1043
Béard-Géovreissiat,01170,4.69,5.56667,46.2,1043
La Burbanche,01066,10.82,5.56667,45.85,71
Perrex,01291,11.07,4.98333,46.2333,811
Villemotier,01445,13.86,5.31667,46.35,676
Jasseron,01195,18.93,5.33333,46.2167,1760
Corveissiat,01125,22.69,5.48333,46.2333,629
Journans,01197,2.43,5.33333,46.15,369
Sermoyer,01402,16.7,4.98333,46.5,725
Charix,01087,18.27,5.68333,46.1833,289
Arbignieu,01015,13.07,5.65,45.7333,650
Leyssard,01214,9.13,5.46667,46.1667,157
Saint-Jean-de-Thurigneux,01362,16,4.88333,45.95,797
Frans,01166,7.98,4.78333,45.9833,2250
