Nom réel,CODE INSEE TXT,Surface km carré,Long,Lat,population
Saint-Chaptes,30241,13.07,4.28333,43.9667,1877
Saint-Marcel-de-Careiret,30282,10.17,4.48333,44.15,865
Sumène,30325,36.59,3.71667,43.9833,1645
Rousson,30223,32.57,4.15,44.2,4037
Fressac,30119,5.89,3.9,43.9833,211
Domessargues,30104,7.32,4.18333,43.9667,679
Aujac,30022,16.47,4.01667,44.35,189
Saint-Jean-de-Serres,30267,8.26,4.06667,44,540
Chamborigaud,30080,17.86,3.98333,44.3,829
Lédignan,30146,6.93,4.1,43.9833,1454
Fournès,30116,17.66,4.6,43.9333,1029
Fourques,30117,38.24,4.61056,43.6931,2922
Remoulins,30212,8.24,4.56667,43.9333,2369
Laval-Pradel,30142,17.68,4.06667,44.2,1195
Ribaute-les-Tavernes,30214,14.27,4.08333,44.0333,2063
Rochefort-du-Gard,30217,34.03,4.68333,43.9667,7683
Corbès,30094,3.28,3.95,44.0833,170
Congénies,30091,8.64,4.16667,43.7667,1649
Montagnac,30354,8.68,4.16667,43.95,236
Beauvoisin,30033,27.82,4.31667,43.7167,4678
Campestre-et-Luc,30064,38.1,3.41667,43.95,113
Caveirac,30075,15.2,4.26667,43.8167,4028
Conqueyrac,30093,27.18,3.9,43.95,112
Pujaut,30209,23.5,4.78333,44,4287
Crespian,30098,7.91,4.1,43.8833,373
Méjannes-lès-Alès,30165,6.58,4.15,44.1,1230
Montmirat,30181,9.52,4.1,43.9167,409
Aubord,30020,9.42,4.31667,43.75,2459
Saint-Sauveur-Camprieu,30297,31.74,3.47723,44.1159,256
Saint-Hippolyte-de-Caton,30261,6.15,4.21667,44.0833,226
Bourdic,30049,7.34,4.33333,43.9833,409
La Bruguière,30056,16.43,4.41667,44.1167,340
Avèze,30026,4.14,3.6,43.9833,1124
Saint-Geniès-de-Comolas,30254,8.26,4.73333,44.0667,1902
Boucoiran-et-Nozières,30046,14.52,4.18333,43.9833,887
La Capelle-et-Masmolène,30067,24.45,4.55,44.05,454
Montpezat,30182,11.98,4.15,43.85,1067
Saint-Bonnet-de-Salendrinque,30236,3.59,3.86861,44.0375,117
Le Vigan,30350,17.24,3.6,43.9833,4099
La Grand-Combe,30132,12.01,4.03333,44.2167,5318
Parignargues,30193,11.01,4.2,43.8667,559
Saint-Julien-de-Peyrolas,30273,12.54,4.58333,44.2833,1378
Fons-sur-Lussan,30113,10.49,4.33333,44.1833,249
Saint-Roman-de-Codières,30296,18.43,3.78333,44,199
Uchaud,30333,8.8,4.26667,43.75,4274
Tharaux,30327,9.52,4.31667,44.25,56
La Bastide-d'Engras,30031,9.85,4.48333,44.1,213
Aigremont,30002,12.55,4.11667,43.9667,739
Saint-Gilles,30258,153.73,4.43333,43.6833,13469
Argilliers,30013,6.67,4.5,43.9833,474
Le Pin,30196,5.96,4.55,44.1,408
Sauveterre,30312,13.09,4.79306,44.0259,1953
Aimargues,30006,26.48,4.2,43.6833,5410
Monteils,30177,6.98,4.18333,44.1,672
La Vernarède,30345,5.59,4.01667,44.2833,338
Barjac,30029,42.72,4.35,44.3,1595
Meynes,30166,16.66,4.56667,43.8833,2596
Sabran,30225,35.64,4.55,44.15,1789
Nîmes,30189,161.85,4.35,43.8333,154349
Gajan,30122,10.91,4.21667,43.9,716
Saint-Paul-la-Coste,30291,18.95,3.96667,44.1667,297
Orsan,30191,6.9,4.66667,44.1333,1096
Saint-Maximin,30286,9.9,4.45,44,712
Vergèze,30344,10.16,4.21667,43.7333,5133
Estézargues,30107,11.59,4.63333,43.95,528
Roquedur,30220,10.85,3.66667,43.9667,249
Bagard,30027,14.55,4.06667,44.0833,2676
Malons-et-Elze,30153,31.21,4.02343,44.4176,123
Saint-Bauzély,30233,5,4.21667,43.9167,589
Comps,30089,8.6,4.6,43.85,1754
Codolet,30084,5.17,4.7,44.1167,702
Pouzilhac,30207,16.04,4.58333,44.05,665
Vallérargues,30338,12.73,4.35,44.1333,145
Montfaucon,30178,4.24,4.75,44.0833,1459
Aspères,30018,10.06,4.05,43.8,539
Saint-Florent-sur-Auzonnet,30253,9.31,4.11667,44.2333,1245
Souvignargues,30324,11.09,4.11667,43.8,867
Servas,30318,10.76,4.18333,44.15,207
L'Estréchure,30108,19.34,3.78333,44.1,164
Saint-Césaire-de-Gauzignan,30240,6.84,4.21667,44.0167,378
Garrigues-Sainte-Eulalie,30126,10,4.315,43.9934,774
Collias,30085,20.42,4.48333,43.95,1144
Saint-Laurent-la-Vernède,30279,11.8,4.46667,44.1,744
Caissargues,30060,8.02,4.38333,43.8,4024
Chambon,30079,14.65,4,44.3,298
Vic-le-Fesq,30349,9.63,4.08333,43.8667,486
Génolhac,30130,17.3,3.95,44.35,873
Bagnols-sur-Cèze,30028,31.37,4.61667,44.1667,18633
Saint-Paul-les-Fonts,30355,5.46,4.61667,44.0833,1065
Bouquet,30048,30.26,4.28333,44.1667,175
Monoblet,30172,21.33,3.88333,44,715
Rochegude,30218,11.94,4.3,44.25,237
Saint-André-d'Olérargues,30232,9.75,4.48333,44.1667,431
Valliguières,30340,19.25,4.58333,44,575
Vabres,30335,4.75,3.88333,44.0167,105
Milhaud,30169,18.25,4.3,43.7833,5919
Saint-Siffret,30299,11.28,4.46667,44.0167,1080
Bréau-et-Salagosse,30052,24.69,3.58333,43.9833,442
Collorgues,30086,9.27,4.3,44,582
Martignargues,30158,4.93,4.18333,44.0333,425
Logrian-Florian,30150,8.58,4.02889,43.9559,287
Fontarèches,30115,13.42,4.45,44.1167,261
Valleraugue,30339,78.35,3.63333,44.0833,1067
Allègre-les-Fumades,30008,24.59,4.26667,44.2167,869
Boisset-et-Gaujac,30042,14.24,4,44.05,2568
Saumane,30310,12.14,3.75833,44.125,263
Molières-Cavaillac,30170,7.71,3.56667,43.9667,971
Saint-André-de-Valborgne,30231,48.71,3.68333,44.15,423
Aulas,30024,2.91,3.58333,44,491
Gaujac,30127,10.28,4.58333,44.0833,1126
Fons,30112,9.28,4.19445,43.9078,1366
Bordezac,30045,9.05,4.03333,44.3167,390
Le Garn,30124,10.81,4.48333,44.3,250
Bessèges,30037,10.32,4.1,44.2833,3001
Saint-Pons-la-Calm,30292,6.37,4.55,44.1,438
Saint-Victor-de-Malcap,30303,10.87,4.21667,44.25,859
Saint-Quentin-la-Poterie,30295,24.06,4.43333,44.05,3032
Tresques,30331,17.9,4.58333,44.1167,1823
Massanes,30161,1.64,4.11278,44.022,201
Flaux,30110,10.68,4.5,44.0167,349
Théziers,30328,11.34,4.61667,43.9,1110
Saint-Hilaire-de-Brethmas,30259,13.91,4.13333,44.0833,4301
Saint-Brès,30237,11.37,4.1975,44.2773,651
Saint-Jean-de-Crieulon,30265,5.57,3.98333,43.95,245
Issirac,30134,20.28,4.48333,44.2833,276
Colognac,30087,12.3,3.81667,44.0333,188
Euzet,30109,6.81,4.23333,44.0667,429
Tornac,30330,19.68,3.98333,44.0167,890
Goudargues,30131,30.27,4.46667,44.2167,1116
Savignargues,30314,2.77,4.08333,43.9667,241
Ners,30188,4.96,4.16667,44.0167,751
Saint-Victor-la-Coste,30302,26.64,4.63333,44.0667,2051
Chusclan,30081,13.23,4.68333,44.15,1031
Blauzac,30041,15.9,4.36667,43.9667,1179
Revens,30213,13.85,3.3,44.0917,23
Sainte-Anastasie,30228,43.64,4.32167,43.9353,1699
Foissac,30111,3.8,4.31667,44.0333,421
Orthoux-Sérignac-Quilhan,30192,13.98,4.05695,43.8923,411
Lézan,30147,9.54,4.05,44.0167,1621
Lecques,30144,5.2,4.06667,43.8333,474
Junas,30136,7.75,4.11667,43.7667,1082
Arphy,30015,20.92,3.6,44.0333,177
Montignargues,30180,4.46,4.21667,43.9333,639
Montdardier,30176,35.25,3.58333,43.9333,215
Mus,30185,2.6,4.2,43.7333,1408
Saint-Dézéry,30248,6.01,4.26667,44,431
Saint-Gervasy,30257,6.93,4.48333,43.8833,1829
Fontanès,30114,14.44,4.0875,43.8298,683
Saint-Julien-de-la-Nef,30272,8.83,3.68333,43.95,136
Arre,30016,7.26,3.5,43.95,308
Vallabrix,30337,7.94,4.48333,44.0667,414
Vissec,30353,21.83,3.459,43.9,60
La Roque-sur-Cèze,30222,8.37,4.51667,44.2,183
Mauressargues,30163,5.85,4.16667,43.9667,155
Branoux-les-Taillades,30051,15.02,3.98333,44.2167,1407
Montclus,30175,21.88,4.43333,44.2667,195
Brouzet-lès-Alès,30055,13.03,4.25,44.1333,650
Pougnadoresse,30205,7.65,4.51667,44.1,250
Saint-André-de-Majencoules,30229,21.79,3.66667,44.0333,631
Saint-Hilaire-d'Ozilhan,30260,16.66,4.58333,43.9667,1026
Dions,30102,11.32,4.31667,43.9333,607
Saint-Étienne-des-Sorts,30251,9.85,4.7,44.1833,570
Brouzet-lès-Quissac,30054,15.94,3.98973,43.862,280
Carsan,30070,11.71,4.58333,44.2333,675
Vestric-et-Candiac,30347,10.92,4.25,43.7333,1445
Peyrolles,30195,8.29,3.83333,44.1167,39
Saint-Ambroix,30227,11.74,4.18333,44.25,3219
Uzès,30334,25.41,4.41667,44.0167,8946
Salindres,30305,11.53,4.16667,44.1667,3291
Marguerittes,30156,25.29,4.45,43.85,8727
Soustelle,30323,11.09,4,44.1833,142
Sommières,30321,10.36,4.08333,43.7833,4702
Calvisson,30062,28.97,4.18333,43.7833,5420
Alès,30007,23.16,4.08333,44.1333,41249
Vauvert,30341,109.86,4.28333,43.7,11470
Générargues,30129,10.24,3.96667,44.0833,738
Saint-Julien-les-Rosiers,30274,14.01,4.10917,44.1739,3389
Villeneuve-lès-Avignon,30351,18.27,4.79584,43.9664,12172
Saint-Jean-de-Ceyrargues,30264,6.65,4.23333,44.05,166
Soudorgues,30322,25.7,3.83333,44.0667,299
Brignon,30053,6.67,4.21667,43.9833,802
Lédenon,30145,19.44,4.51667,43.9167,1501
Saint-Théodorit,30300,8.75,4.08333,43.9333,516
Saint-Bonnet-du-Gard,30235,6.84,4.55,43.9333,875
Blandas,30040,37.46,3.5,43.9167,150
Saint-Christol-lès-Alès,30243,20.25,4.08333,44.0833,7204
Portes,30203,14.42,4.03333,44.2667,373
Bezouce,30039,12.29,4.48333,43.8833,2260
Serviers-et-Labaume,30319,12.22,4.35,44.05,601
Cavillargues,30076,11.27,4.51667,44.1167,847
Lirac,30149,9.76,4.68333,44.0333,911
Saint-Jean-de-Maruéjols-et-Avéjan,30266,17.3,4.3,44.25,970
Saint-Privat-de-Champclos,30293,11.64,4.38333,44.2833,355
Saint-Mamert-du-Gard,30281,14.35,4.2,43.8833,1619
Le Martinet,30159,10.35,4.08333,44.25,840
Garons,30125,12.28,4.41667,43.7667,4803
Mons,30173,15.94,4.17417,44.1148,1639
Saint-Jean-du-Pin,30270,13.96,4.05056,44.1167,1457
Maruéjols-lès-Gardon,30160,3.82,4.13084,44.0056,241
Rogues,30219,30.22,3.58333,43.8833,104
Durfort-et-Saint-Martin-de-Sossenac,30106,16.28,3.95528,43.9906,727
Aumessas,30025,21.45,3.5,43.9833,243
Saint-Clément,30244,5.04,4.03333,43.8167,365
Aigues-Vives,30004,12,4.18056,43.7395,3220
Gallargues-le-Montueux,30123,10.89,4.17278,43.7212,3650
Saint-Nazaire-des-Gardies,30289,11.29,4.01667,43.9833,82
Saint-Maurice-de-Cazevieille,30285,13.15,4.23333,44.0333,710
Vézénobres,30348,17.07,4.15,44.05,1867
Aujargues,30023,6.85,4.11667,43.7833,878
Plans,30197,6.15,4.21667,44.15,258
Saint-Laurent-de-Carnols,30277,10.15,4.53333,44.2,473
Bellegarde,30034,44.96,4.51667,43.75,6806
Courry,30097,8.22,4.15,44.3,301
Saint-Gervais,30256,11.87,4.56667,44.1833,707
Rodilhan,30356,4.69,4.43333,43.8333,3132
Verfeuil,30343,25.97,4.45,44.1667,638
Mars,30157,3.8,3.56667,44,191
Canaules-et-Argentières,30065,10.06,4.05,43.9833,385
Castelnau-Valence,30072,10.27,4.25195,44.0089,441
Pompignan,30200,41.31,3.85,43.9,913
Saint-Just-et-Vacquières,30275,23.52,4.21667,44.1167,299
Pommiers,30199,6.51,3.6,43.95,63
Saint-Sébastien-d'Aigrefeuille,30298,15.82,3.99445,44.107,542
Saze,30315,12.6,4.68333,43.9333,2023
La Rouvière,30224,7.9,4.25,43.9333,601
Aiguèze,30005,20.03,4.56667,44.3,220
Sainte-Croix-de-Caderle,30246,7.63,3.865,44.07,123
Deaux,30101,5.95,4.15,44.0833,690
Langlade,30138,9,4.25,43.8,2186
Bouillargues,30047,15.77,4.43333,43.8,6418
Laudun-l'Ardoise,30141,34.19,4.66667,44.1,6180
Cendras,30077,12.86,4.06667,44.15,1946
Thoiras,30329,22.89,3.93333,44.0667,457
Saint-Julien-de-Cassagnas,30271,4.46,4.2,44.2333,669
Saint-Laurent-des-Arbres,30278,16.35,4.7,44.05,2863
Puechredon,30208,8.08,4.03333,43.95,35
Cassagnoles,30071,5.19,4.13056,44.0225,423
Lunax,31307,5.1,0.683333,43.3333,67
Fontenilles,31188,20.22,1.2,43.55,5481
Arbon,31012,4.47,0.75,43,97
Loudet,31305,5.13,0.566667,43.15,211
Castillon-de-Larboust,31123,20.67,0.533333,42.8,50
Saint-Aventin,31470,17.4,0.55,42.8167,104
Gensac-sur-Garonne,31219,10.14,1.13333,43.2167,404
Pin-Balma,31418,6.63,1.53333,43.6333,942
Ausseing,31030,5.88,1.01667,43.15,76
Ségreville,31540,4.97,1.73333,43.5,268
Tarabel,31551,7.42,1.66667,43.5167,401
Seilh,31541,6.16,1.35,43.7,3195
Roques,31458,9.3,1.375,43.5083,4490
Bragayrac,31087,8.25,1.06667,43.4833,313
Boudrac,31078,11.64,0.55,43.2,146
Esténos,31176,3.41,0.633333,42.95,187
Mirepoix-sur-Tarn,31346,5.46,1.58333,43.8167,952
Juzes,31243,3.75,1.8,43.45,93
Salies-du-Salat,31523,6.81,0.95,43.1167,1923
Soueich,31550,11.33,0.783333,43.05,555
Beauzelle,31056,4.42,1.36667,43.6667,6242
Sauveterre-de-Comminges,31535,30.52,0.667778,43.0334,676
Portet-de-Luchon,31432,4.11,0.5,42.8,40
Gragnague,31228,13.04,1.58333,43.6833,1788
Lacaugne,31258,6.06,1.26667,43.2833,208
Lestelle-de-Saint-Martory,31296,9.4,0.916667,43.1333,455
Saint-Gaudens,31483,27.35,0.733333,43.1167,11864
Lacroix-Falgarde,31259,6.09,1.41667,43.5,2078
Lez,31298,2.6,0.7,42.9167,61
Vigoulet-Auzil,31578,3.46,1.46667,43.5,951
Cazères,31135,19.55,1.08333,43.2167,4931
Empeaux,31166,4.56,1.08333,43.5333,253
Le Cuing,31159,13.05,0.6,43.15,460
Le Fauga,31181,8.92,1.28333,43.4,2002
Saint-Julia,31491,11.46,1.9,43.4833,406
Roquettes,31460,3.36,1.35,43.5,4242
Lagrâce-Dieu,31264,8.52,1.4,43.3333,572
Saint-Marcel-Paulel,31501,7.1,1.6,43.6667,424
Lilhac,31301,7.3,0.816667,43.2833,134
Léguevin,31291,24.45,1.25,43.6,9137
Sengouagnet,31544,18.6,0.783333,42.9833,215
Colomiers,31149,20.83,1.35,43.6167,38928
Castagnède,31112,3.32,0.966667,43.05,187
Péchabou,31409,3.57,1.5,43.5,2138
Fos,31190,18.17,0.733333,42.8667,251
Fabas,31178,18.68,0.894722,43.3142,209
Pouy-de-Touges,31436,13.79,1.03333,43.35,398
Chaum,31139,5.7,0.65,42.9333,192
Francazal,31195,5.46,1.03333,43.0167,21
Cardeilhac,31108,18.41,0.683333,43.2,264
Mondavezan,31349,21.09,1.03333,43.2333,916
Monestrol,31354,5.23,1.66667,43.3333,66
Barbazan,31045,6.05,0.633333,43.0333,451
Montjoire,31383,20.29,1.53333,43.7833,1330
Figarol,31183,11.6,0.9,43.0833,294
Montauban-de-Luchon,31360,6.02,0.616667,42.8,491
Montgiscard,31381,13.16,1.58333,43.45,2201
Muret,31395,57.84,1.35,43.4667,25810
Terrebasse,31552,9.56,0.966667,43.25,139
Montesquieu-Lauragais,31374,24.75,1.63333,43.4167,973
Daux,31160,16.88,1.25,43.7,2274
La Magdelaine-sur-Tarn,31311,6.82,1.55,43.8167,1165
Cabanac-Cazaux,31095,3.81,0.75,43.0333,133
Saint-Lys,31499,21.3,1.2,43.5167,9227
Aurin,31029,7.49,1.66667,43.5333,321
Vieille-Toulouse,31575,5.53,1.45,43.5167,1179
Ramonville-Saint-Agne,31446,6.46,1.46667,43.55,14390
Mauvezin,31333,4.76,0.924444,43.3864,91
Le Pin-Murelet,31419,12.04,1.01667,43.4,168
Ore,31405,2.86,0.65,42.9667,114
Saint-Lary-Boujean,31493,8.39,0.735833,43.2289,136
Anan,31008,13.43,0.833333,43.35,243
Miremont,31345,22.4,1.41667,43.3667,2364
Caubous,31127,3.78,0.522222,42.8509,4
Francon,31196,9.54,0.966667,43.2667,244
Ausson,31031,4.39,0.6,43.0833,576
Boussens,31084,4.33,0.966667,43.1833,1150
Sarrecave,31531,2.49,0.583333,43.2167,77
Gaillac-Toulza,31206,40.4,1.46667,43.25,1266
His,31237,5.05,0.966667,43.0667,254
Le Born,31077,10.85,1.55,43.8833,500
Villariès,31579,7.33,1.5,43.7167,839
Menville,31338,5.07,1.2,43.6833,719
Saint-Martory,31503,8.3,0.933333,43.15,960
Mérenvielle,31339,10.45,1.16667,43.6333,496
Binos,31590,1.96,0.616667,42.9,43
Antichan-de-Frontignes,31009,4.27,0.666667,42.9667,99
Gratentour,31230,4.09,1.43333,43.7167,3608
Garin,31213,5.62,0.516667,42.8167,139
Couladère,31153,2.18,1.1,43.2,447
Le Faget,31179,11.31,1.83333,43.5667,363
Cornebarrieu,31150,18.7,1.33333,43.65,6601
Tourreilles,31556,12.33,0.551944,43.1128,391
Mervilla,31340,2.76,1.46667,43.5167,270
Savarthès,31537,3.05,0.8,43.1167,182
Trébons-sur-la-Grasse,31560,10.87,1.73333,43.45,463
Roumens,31463,3.57,1.93333,43.4667,257
Gauré,31215,13.47,1.61667,43.6167,512
Cessales,31137,3.34,1.73333,43.45,167
Le Grès,31234,8.13,1.1,43.7333,421
Francarville,31194,7,1.75,43.6,190
Pradère-les-Bourguets,31438,4.89,1.16667,43.65,385
Vernet,31574,10.53,1.43167,43.4328,2648
Fenouillet,31182,9.51,1.4,43.6833,5118
Saiguède,31466,11.86,1.15,43.5333,812
Mauvaisin,31332,11.05,1.55,43.35,236
Ayguesvives,31004,13.11,1.6,43.4333,2585
Castanet-Tolosan,31113,8.22,1.5,43.5167,12892
Mauressac,31330,4.52,1.43333,43.3167,505
Nénigan,31397,2.38,0.7,43.35,61
Montastruc-Savès,31359,5.75,1.01667,43.35,72
Tournefeuille,31557,18.17,1.35,43.5833,27300
Saint-Ferréol-de-Comminges,31479,5.88,0.733333,43.3333,44
Salles-sur-Garonne,31525,5.68,1.18333,43.2667,567
Saint-Élix-le-Château,31476,10.52,1.13333,43.2667,833
Labruyère-Dorsa,31256,2.19,1.48333,43.4,275
Cintegabelle,31145,52.92,1.53333,43.3167,2900
Rieumes,31454,30.9,1.11667,43.4167,3593
Salerm,31522,5.87,0.833333,43.3,52
Caraman,31106,30.19,1.76667,43.5333,2438
Labastide-Saint-Sernin,31252,4.97,1.46667,43.7333,1873
Garde,31262,11.69,1.71667,43.3417,407
Tour,31279,6.24,1.28333,43.2,79
Lourde,31306,1.24,0.666667,42.9833,92
Saint-Julien-sur-Garonne,31492,8.15,1.16667,43.2333,544
Aspret-Sarrat,31021,3.82,0.716667,43.0667,145
Aulon,31023,14.9,0.833333,43.1833,344
Montclar-de-Comminges,31367,6.45,1.01667,43.1667,94
Saint-Geniès-Bellevue,31484,3.78,1.48333,43.6833,2302
Montgaillard-de-Salies,31376,6.04,0.933333,43.0667,103
Bagiry,31041,2.78,0.633333,42.9833,93
Loubens-Lauragais,31304,6.47,1.78333,43.5833,453
Saint-Pierre,31511,4.74,1.65028,43.6314,271
Folcarde,31185,2.33,1.8,43.4,136
Portet-sur-Garonne,31433,16.19,1.41667,43.5167,9738
Lherm,31299,27.26,1.22195,43.43,3658
Montlaur,31384,9.61,1.57111,43.4884,1212
Riolas,31456,2.86,0.916667,43.35,46
Pouze,31437,3.82,1.53333,43.4333,94
Carbonne,31107,26.59,1.23333,43.3,5476
Frontignan-Savès,31201,2.81,0.916667,43.4,63
Bourg-d'Oueil,31081,9.52,0.5,42.8667,8
Saint-Christaud,31474,10.87,1.13333,43.1833,257
Castelginest,31116,8.11,1.43333,43.7,9930
Estadens,31174,17.47,0.85,43.0333,539
Espanès,31171,3.53,1.48333,43.45,301
Rieux-Volvestre,31455,32.38,1.2,43.25,2630
Moustajon,31394,2.3,0.6,42.8167,168
Ganties,31208,12.03,0.833333,43.0667,341
Goyrans,31227,5.75,1.43333,43.4833,905
Encausse-les-Thermes,31167,8.15,0.75,43.05,722
Lavelanet-de-Comminges,31286,13.54,1.11667,43.25,632
Labroquère,31255,4.37,0.6,43.0333,354
Longages,31303,21.42,1.25,43.3667,2983
Saint-Pé-d'Ardet,31509,3.47,0.666667,42.9833,131
Saint-Sulpice-sur-Lèze,31517,13.97,1.33333,43.3333,2237
Bretx,31089,8.41,1.21667,43.7,623
Montastruc-de-Salies,31357,16.12,0.9,43.0333,264
La Salvetat-Saint-Gilles,31526,5.75,1.27139,43.5762,7687
Saint-Araille,31469,6.54,0.983333,43.35,150
Albiac,31006,4.71,1.78056,43.552,208
Sarremezan,31532,4.25,0.666667,43.2,99
Baziège,31048,19.72,1.61667,43.45,3318
Laffite-Toupière,31260,4.84,0.905556,43.1645,104
Villefranche-de-Lauragais,31582,10.35,1.73333,43.4,4350
Mondonville,31351,11.89,1.28333,43.6667,4603
Mirambeau,31343,3.96,0.883333,43.4,69
Azas,31038,12.83,1.66667,43.7167,635
Ambax,31007,5.95,0.933333,43.3667,67
Bellegarde-Sainte-Marie,31061,11.66,1.11361,43.6717,215
Lafitte-Vigordane,31261,11.38,1.16306,43.2998,1125
Labastide-Beauvoir,31249,10.2,1.66667,43.4833,1170
Labarthe-Inard,31246,9.97,0.85,43.1167,889
Lescuns,31292,3.01,1.01667,43.25,69
Villeneuve-de-Rivière,31585,13.57,0.666667,43.1333,1835
Cuguron,31158,7.07,0.55,43.1,194
Montréjeau,31390,8.21,0.583333,43.0833,2939
Noueilles,31401,5.51,1.53333,43.4167,387
Chein-Dessus,31140,12.69,0.883333,43.0167,196
Mailholas,31312,2.94,1.26667,43.25,41
Izaut-de-l'Hôtel,31241,9.68,0.75,43.0167,330
Mons,31355,7.32,1.57445,43.6109,1807
Villemur-sur-Tarn,31584,46.57,1.51667,43.8667,5919
Roquefort-sur-Garonne,31457,13.56,0.966667,43.1667,801
Cox,31156,4.07,1.05,43.7667,344
Larcan,31274,6.96,0.716667,43.1833,184
Bouloc,31079,18.55,1.41667,43.7833,4491
Marignac,31316,12.95,0.658333,42.9142,495
Saint-Paul-sur-Save,31507,5.07,1.22583,43.6984,1504
Pibrac,31417,25.86,1.3,43.6167,8574
Belberaud,31057,7.47,1.58333,43.5,1399
Blagnac,31069,16.88,1.4,43.6333,23914
Bélesta-en-Lauragais,31060,5.59,1.81667,43.4333,105
Cadours,31098,10.58,1.05,43.7333,1106
Belbèze-de-Lauragais,31058,3.71,1.55,43.4333,112
Fronsac,31199,4.15,0.65,42.95,211
Bessières,31066,16.68,1.61667,43.8,3824
Castillon-de-Saint-Martory,31124,10.98,0.866667,43.1333,386
Pins-Justaret,31421,4.51,1.38333,43.4798,4538
Saint-Michel,31505,15.53,1.08333,43.1667,322
Laréole,31275,8.88,1.03333,43.7333,170
Saint-Félix-Lauragais,31478,51.88,1.9,43.45,1324
Mondilhan,31350,10.02,0.7,43.2833,101
Lavernose-Lacasse,31287,17.83,1.26028,43.3962,2921
Toulouse,31555,118.3,1.43333,43.6,474246
Rieumajou,31453,3.77,1.78333,43.4167,138
Frouzins,31203,7.91,1.31667,43.5167,9008
Montgeard,31380,9.32,1.61667,43.3333,479
Bouzin,31086,4.27,0.883333,43.1833,98
Montgaillard-Lauragais,31377,11.12,1.7,43.4333,719
Lieoux,31300,5.83,0.766667,43.15,127
Cazac,31593,6.23,0.944167,43.347,88
Salles-et-Pratviel,31524,2.12,0.6,42.8333,139
L'Isle-en-Dodon,31239,22.58,0.85,43.3833,1793
Villaudric,31581,12.16,1.43333,43.8333,1509
Sabonnères,31464,12.3,1.06667,43.4667,309
Bourg-Saint-Bernard,31082,16.6,1.73333,43.6,1011
Vallègue,31566,4.18,1.75,43.4167,535
Deyme,31161,7.05,1.53333,43.4833,1013
Plagnole,31423,7.24,1.06667,43.4167,306
Villematier,31583,14.96,1.5,43.8333,1053
Savères,31538,10.71,1.11667,43.3667,211
Villeneuve-lès-Bouloc,31587,12.66,1.41667,43.7667,1410
Beaupuy,31053,5.84,1,43.65,1306
Caragoudes,31105,8.31,1.7,43.5,232
Cépet,31136,7.11,1.43333,43.75,1695
Montesquieu-Guittaut,31373,10.06,0.766667,43.3333,180
Auzeville-Tolosane,31035,6.66,1.48333,43.5333,3838
Beauteville,31054,4.49,1.73333,43.35,181
Montaut,31361,17.88,1.26667,43.35,540
Saint-Marcet,31502,14.06,0.75,43.2,375
Auterive,31033,36.54,1.48333,43.35,9407
Marliac,31319,7.2,1.46667,43.2333,128
Blajan,31070,12.68,0.65,43.2667,512
Palaminy,31406,11.13,1.06667,43.2,832
Alan,31005,11.29,0.95,43.2167,330
Saint-Plancard,31513,16.09,0.566667,43.1667,364
Canens,31103,4.84,1.33333,43.2167,53
Cassagne,31110,10.97,0.983333,43.1167,648
Arguenos,31014,11.09,0.716667,42.9667,64
Saint-Béat,31471,7.37,0.7,42.9167,405
Lasserre,31277,9.51,1.16861,43.6389,1041
Burgalays,31092,5.05,0.633333,42.8833,133
Lanta,31271,30.12,1.66667,43.5667,1872
Verfeil,31573,41.23,1.66083,43.6575,3509
Cazaril-Tambourès,31130,6.93,0.533333,43.1833,90
Vallesvilles,31567,8.16,1.63333,43.6,400
Razecueillé,31447,6.5,0.8,42.9667,43
Merville,31341,30.68,1.31667,43.7333,5201
Urau,31562,18.45,0.95,43.0167,130
Montaigut-sur-Save,31356,12.65,1.25,43.7,1642
Castelgaillard,31115,6.82,0.9,43.35,64
Saint-Pierre-de-Lages,31512,7.2,1.61667,43.5667,825
Saint-Mamet,31500,11.16,0.6,42.7833,580
Corronsac,31151,6.34,1.5,43.4667,783
Mondouzil,31352,4.09,1.56667,43.6333,245
Beaufort,31051,8.51,1.11667,43.4667,393
Escalquens,31169,8.42,1.56667,43.5167,6420
Valentine,31565,8.03,0.716667,43.1,909
Lécussan,31289,7.43,0.5,43.15,254
Baren,31046,3.06,0.616667,42.8667,11
Herran,31236,15.37,0.916667,42.9667,75
Goudex,31223,2.61,0.95,43.3667,52
Bezins-Garraux,31067,7.71,0.7,42.9333,39
Boussan,31083,12.45,0.9,43.2333,247
Le Castéra,31120,16.71,1.15,43.6833,827
Auriac-sur-Vendinelle,31026,30.71,1.81667,43.5167,1026
Juzet-de-Luchon,31244,6.8,0.616667,42.8167,391
Seysses,31547,25.26,1.31667,43.5,8318
Montgaillard-sur-Save,31378,4.13,0.733333,43.25,80
Lauzerville,31284,3.46,1.56667,43.55,1568
Gibel,31220,19.4,1.66667,43.3,349
Samouillan,31529,5.33,0.95,43.2667,133
Rebigue,31448,5.16,1.48333,43.4833,525
Lodes,31302,13.74,0.683333,43.1667,296
Lagardelle-sur-Lèze,31263,13.78,1.38333,43.4167,2811
Ciadoux,31141,9.73,0.733333,43.2667,257
Villenouvelle,31589,7.95,1.65,43.4333,1405
Castéra-Vignoles,31121,4.19,0.783333,43.2833,66
Saint-Élix-Séglan,31477,2.86,0.866667,43.2,45
Saint-Rustice,31515,2.36,1.31667,43.8,471
